id,hotel_name,n_comment,rank_in_country,url,excellent,good,average,poor,terrible
246,b'Four Chain View Hotel',63,b'#246 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562404-Reviews-Four_Chain_View_Hotel-Singapore.html,5,19,26,7,6
247,b'OYO 102 Budgetone Hotel',10,b'#247 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7698454-Reviews-OYO_102_Budgetone_Hotel-Singapore.html,1,4,4,1,0
248,b'Asphodel Inn Singapore',132,b'#248 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d430003-Reviews-Asphodel_Inn_Singapore-Singapore.html,8,37,53,18,16
249,b'Hotel 81 - Princess',243,b'#249 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d505976-Reviews-Hotel_81_Princess-Singapore.html,22,80,86,29,26
250,b'Hotel 81 - Palace',234,b'#250 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506322-Reviews-Hotel_81_Palace-Singapore.html,13,82,88,35,16
251,b'Hotel 81   Selegie',206,b'#251 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1160176-Reviews-Hotel_81_Selegie-Singapore.html,22,60,83,18,23
252,b'Hotel 1887 - The New Opera House',53,b'#252 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d14800844-Reviews-Hotel_1887_The_New_Opera_House-Singapore.html,10,16,12,7,8
253,b'Fragrance Hotel - Viva',30,b'#253 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1795375-Reviews-Fragrance_Hotel_Viva-Singapore.html,9,6,7,5,3
254,b'Resorts World Sentosa - Hotel Michael',9,b'#254 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12963556-Reviews-Resorts_World_Sentosa_Hotel_Michael-Singapore.html,3,3,1,0,2
255,b'Studio M Hotel',2773,b'#255 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1656770-Reviews-Studio_M_Hotel-Singapore.html,603,815,568,234,210
256,b'Furama City Centre',3062,b'#256 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301949-Reviews-Furama_City_Centre-Singapore.html,1359,1047,434,126,96
257,b'Hotel Grand Central',540,b'#257 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306174-Reviews-Hotel_Grand_Central-Singapore.html,43,123,158,82,134
258,b'Hotel 165',89,b'#258 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1808946-Reviews-Hotel_165-Singapore.html,7,19,33,17,13
259,b'Hotel Chancellor at Orchard',517,b'#259 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8316803-Reviews-Hotel_Chancellor_at_Orchard-Singapore.html,55,139,164,67,92
260,b'Robertson Quay Hotel',1102,b'#260 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306120-Reviews-Robertson_Quay_Hotel-Singapore.html,58,289,400,156,199
261,b'Amrise Hotel',232,b'#261 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1935836-Reviews-Amrise_Hotel-Singapore.html,11,60,88,38,35
262,b'Lai Ming Hotel Cosmoland',78,b'#262 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1599424-Reviews-Lai_Ming_Hotel_Cosmoland-Singapore.html,4,20,25,10,19
263,b'Hotel Supreme',415,b'#263 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506315-Reviews-Hotel_Supreme-Singapore.html,18,111,155,81,51
264,b'Butternut Tree Hotel',226,b'#264 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1937398-Reviews-Butternut_Tree_Hotel-Singapore.html,14,44,97,31,40
265,b'Pasir Panjang Inn',33,b'#265 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1798787-Reviews-Pasir_Panjang_Inn-Singapore.html,2,2,18,6,5
266,b'Arianna Hotel',240,b'#266 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2298837-Reviews-Arianna_Hotel-Singapore.html,6,29,89,35,81
267,b'Quality Hotel Marlow',345,b'#267 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299607-Reviews-Quality_Hotel_Marlow-Singapore.html,18,94,134,54,45
268,b'Marrison Hotel',340,b'#268 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2223865-Reviews-Marrison_Hotel-Singapore.html,17,95,119,56,53
269,b'Fragrance Hotel - Waterfront',92,b'#269 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1089215-Reviews-Fragrance_Hotel_Waterfront-Singapore.html,9,28,25,16,14
270,b'Oxford Hotel',154,b'#270 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306187-Reviews-Oxford_Hotel-Singapore.html,6,27,49,32,40
271,b'Hornbill Hotel',88,b'#271 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1109968-Reviews-Hornbill_Hotel-Singapore.html,5,19,23,14,27
272,b'Darlene Hotel',24,b'#272 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3316258-Reviews-Darlene_Hotel-Singapore.html,1,3,7,6,7
273,b'Regin Hotel',67,b'#273 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1186381-Reviews-Regin_Hotel-Singapore.html,7,19,23,12,6
274,b'Aliwal Park Hotel',58,b'#274 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d446809-Reviews-Aliwal_Park_Hotel-Singapore.html,5,14,21,4,14
275,b'Home Suite View Hotel',28,b'#275 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10220090-Reviews-Home_Suite_View_Hotel-Singapore.html,2,6,9,4,7
276,b'Fragrance Hotel - Ocean View',28,b'#276 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1235051-Reviews-Fragrance_Hotel_Ocean_View-Singapore.html,1,8,10,7,2
277,b'Fragrance Hotel - Kovan',9,b'#277 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d633035-Reviews-Fragrance_Hotel_Kovan-Singapore.html,1,3,2,1,2
278,b'Seng Wah Hotel',5,b'#278 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8872365-Reviews-Seng_Wah_Hotel-Singapore.html,0,1,2,1,1
279,b'Hotel 81 Fuji',15,b'#279 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4889002-Reviews-Hotel_81_Fuji-Singapore.html,2,5,2,1,5
280,b'ZenRooms Bukit Merah',3,b'#280 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9991600-Reviews-ZenRooms_Bukit_Merah-Singapore.html,0,1,0,0,2
281,b'City Beach Resort',11,b'#281 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1395143-Reviews-City_Beach_Resort-Singapore.html,0,3,1,2,5
282,"b""D'Kranji Farm Resort""",106,b'#282 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2151010-Reviews-D_Kranji_Farm_Resort-Singapore.html,7,29,36,13,21
283,b'Fragrance Hotel - Lavender',67,b'#283 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2219431-Reviews-Fragrance_Hotel_Lavender-Singapore.html,12,19,17,10,9
284,b'The Duxton Club',0,b'#284 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12421906-Reviews-The_Duxton_Club-Singapore.html,0,0,0,0,0
285,b'Kim Tian Hotel',0,b'#285 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16867448-Reviews-Kim_Tian_Hotel-Singapore.html,0,0,0,0,0
286,b'KeSa House',0,b'#286 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d17353866-Reviews-KeSa_House-Singapore.html,0,0,0,0,0
287,b'Raffles Town Club',30,b'#287 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d982625-Reviews-Raffles_Town_Club-Singapore.html,10,14,3,1,2
288,b'Royal At Newton Hotel Singapore',143,b'#288 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1210708-Reviews-Royal_At_Newton_Hotel_Singapore-Singapore.html,16,49,39,21,18
289,b'Laguna National Golf and Country Club',19,b'#289 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2276137-Reviews-Laguna_National_Golf_and_Country_Club-Singapore.html,5,6,3,2,3
290,b'Wanderloft',1,b'#290 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16663611-Reviews-Wanderloft-Singapore.html,1,0,0,0,0
291,b'Welcome Inn Backpackers Hostel',4,b'#291 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1196100-Reviews-Welcome_Inn_Backpackers_Hostel-Singapore.html,1,2,1,0,0
292,b'Wow Hostels',76,b'#292 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1625675-Reviews-Wow_Hostels-Singapore.html,9,21,25,10,11
293,b'Radius International City Lodge',4,b'#293 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1541654-Reviews-Radius_International_City_Lodge-Singapore.html,0,2,1,0,0
294,b'Cockpit Hotel International',2,b'#294 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1230647-Reviews-Cockpit_Hotel_International-Singapore.html,0,0,2,0,0
295,b'SkyOrchids',15,b'#295 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d624401-Reviews-SkyOrchids-Singapore.html,1,4,5,1,4
296,b'Island Resort',13,b'#296 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d951092-Reviews-Island_Resort-Singapore.html,2,0,1,3,7
297,b'Celestial Resort Pulau Ubin',112,b'#297 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g1644875-d1746698-Reviews-Celestial_Resort_Pulau_Ubin-Pulau_Ubin.html,9,32,27,15,29
298,b'Aspinals Hotel',63,b'#298 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d619163-Reviews-Aspinals_Hotel-Singapore.html,0,4,10,16,33
299,b'The Barracks Hotel at Sentosa by Far East Hospitality',0,b'#299 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d17324106-Reviews-The_Barracks_Hotel_at_Sentosa_by_Far_East_Hospitality-Singapore.html,0,0,0,0,0
300,b'Butternut Tree Hotel',0,b'#300 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16738519-Reviews-Butternut_Tree_Hotel-Singapore.html,0,0,0,0,0
301,b'Santa Grand Hotel Little India',356,b'#301 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1390175-Reviews-Santa_Grand_Hotel_Little_India-Singapore.html,62,147,98,27,22
302,b'Citadines Fusionopolis Singapore',29,b'#302 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1485045-Reviews-Citadines_Fusionopolis_Singapore-Singapore.html,11,10,3,4,1
303,b'Pan Pacific Orchard',0,b'#303 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d17367079-Reviews-Pan_Pacific_Orchard-Singapore.html,0,0,0,0,0
304,b'Room Werkz',0,b'#304 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1202159-Reviews-Room_Werkz-Singapore.html,0,0,0,0,0
305,b'Raffles Hotel Singapore',4350,b'#305 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301583-Reviews-Raffles_Hotel_Singapore-Singapore.html,2615,571,115,40,36
306,b'Orchard Grand Court',297,b'#306 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1073336-Reviews-Orchard_Grand_Court-Singapore.html,74,138,67,8,10
307,b'Golden Star Hotel',33,b'#307 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2043994-Reviews-Golden_Star_Hotel-Singapore.html,1,7,14,6,5
308,b'Fraser Suites Singapore',487,b'#308 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306172-Reviews-Fraser_Suites_Singapore-Singapore.html,313,128,27,11,8
309,b'Shangri-La Apartments',306,b'#309 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506455-Reviews-Shangri_La_Apartments-Singapore.html,180,78,32,10,6
310,"b'Pan Pacific Serviced Suites Beach Road, Singapore'",899,b'#310 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4310988-Reviews-Pan_Pacific_Serviced_Suites_Beach_Road_Singapore-Singapore.html,593,242,40,13,11
311,"b'Fraser Place Robertson Walk, Singapore'",581,b'#311 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306171-Reviews-Fraser_Place_Robertson_Walk_Singapore-Singapore.html,327,206,34,6,8
312,b'The Warehouse Hotel',251,b'#312 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11680778-Reviews-The_Warehouse_Hotel-Singapore.html,167,57,14,9,4
313,b'Pan Pacific Serviced Suites Orchard Singapore',208,b'#313 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1146123-Reviews-Pan_Pacific_Serviced_Suites_Orchard_Singapore-Singapore.html,138,56,7,4,3
314,b'PARKROYAL Serviced Suites Singapore',107,b'#314 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1175136-Reviews-PARKROYAL_Serviced_Suites_Singapore-Singapore.html,56,42,4,2,3
315,b'Hotel Innotel',500,b'#315 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1982272-Reviews-Hotel_Innotel-Singapore.html,135,257,76,20,12
316,b'Wanderlust',910,b'#316 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1801958-Reviews-Wanderlust-Singapore.html,352,354,131,47,26
317,b'Fragrance Hotel - Emerald',81,b'#317 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d568053-Reviews-Fragrance_Hotel_Emerald-Singapore.html,17,38,22,4,1
318,b'Santa Grand Hotel Lai Chun Yuen',1166,b'#318 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2406995-Reviews-Santa_Grand_Hotel_Lai_Chun_Yuen-Singapore.html,143,513,346,96,68
319,b'Fragrance Hotel - Sunflower',176,b'#319 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1008216-Reviews-Fragrance_Hotel_Sunflower-Singapore.html,34,61,51,19,11
320,b'Chang Ziang Hotel',136,b'#320 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3181903-Reviews-Chang_Ziang_Hotel-Singapore.html,14,53,51,12,6
321,b'L Residence',41,b'#321 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1230932-Reviews-L_Residence-Singapore.html,25,9,2,3,2
322,b'Chinatown Hotel',104,b'#322 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d338319-Reviews-Chinatown_Hotel-Singapore.html,9,32,29,19,15
323,b'National Service Resort & Country Club',21,b'#323 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1787963-Reviews-National_Service_Resort_Country_Club-Singapore.html,4,9,4,3,1
324,b'Haising Hotel',36,b'#324 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1229493-Reviews-Haising_Hotel-Singapore.html,8,15,9,1,3
325,b'Hotel 81 - Cherry',9,b'#325 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d598298-Reviews-Hotel_81_Cherry-Singapore.html,3,4,1,1,0
326,b'Malacca Hotel',1,b'#326 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4341705-Reviews-Malacca_Hotel-Singapore.html,0,1,0,0,0
327,b'ZEN Rooms Evergreen Residences',30,b'#327 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9456769-Reviews-ZEN_Rooms_Evergreen_Residences-Singapore.html,5,10,12,1,2
328,b'New Changi Hotel',19,b'#328 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562399-Reviews-New_Changi_Hotel-Singapore.html,1,6,5,2,5
329,b'Mayfair City Boarding House',1,b'#329 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562389-Reviews-Mayfair_City_Boarding_House-Singapore.html,0,0,1,0,0
330,b'Astro Hotel Singapore',2,b'#330 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562588-Reviews-Astro_Hotel_Singapore-Singapore.html,0,0,2,0,0
331,b'Jetquay Suites',0,b'#331 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16732500-Reviews-Jetquay_Suites-Singapore.html,0,0,0,0,0
332,b'Hotel Horsecity',1,b'#332 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d11666441-Reviews-Hotel_Horsecity-Singapore.html,0,0,0,0,1
333,b'Fortuna Hotel',188,b'#333 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306170-Reviews-Fortuna_Hotel-Singapore.html,12,48,71,25,32
334,b'Le Peranakan Hotel',207,b'#334 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1547084-Reviews-Le_Peranakan_Hotel-Singapore.html,11,72,72,34,18
335,"b""Rider's Lodge""",116,b'#335 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1088459-Reviews-Rider_s_Lodge-Singapore.html,10,40,32,20,14
336,b'Fraser Residence',1,b'#336 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16649700-Reviews-Fraser_Residence-Singapore.html,0,0,0,1,0
337,b'Kerbau Hotel',11,b'#337 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1159779-Reviews-Kerbau_Hotel-Singapore.html,0,3,3,3,2
338,b'Aloha Changi',22,b'#338 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3494060-Reviews-Aloha_Changi-Singapore.html,0,8,7,1,6
339,b'Sloane Court Hotel',42,b'#339 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d584851-Reviews-Sloane_Court_Hotel-Singapore.html,1,9,12,5,15
340,b'Gay World Hotel Singapore',2,b'#340 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5614673-Reviews-Gay_World_Hotel_Singapore-Singapore.html,0,0,0,0,1
341,b'Cameron Hotel',18,b'#341 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1024563-Reviews-Cameron_Hotel-Singapore.html,3,2,2,4,6
342,b'Zen Rooms Sixth Avenue',2,b'#342 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13485834-Reviews-Zen_Rooms_Sixth_Avenue-Singapore.html,0,0,0,1,1
343,b'Ambassador Hotel',18,b'#343 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1015604-Reviews-Ambassador_Hotel-Singapore.html,0,3,3,3,9
344,b'Hotel Zenobia',65,b'#344 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1868470-Reviews-Hotel_Zenobia-Singapore.html,1,10,17,11,26
345,b'Damenlou Hotel',0,b'#345 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1230648-Reviews-Damenlou_Hotel-Singapore.html,0,0,0,0,0
346,b'Hotel ABCD',0,b'#346 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d15242930-Reviews-Hotel_ABCD-Singapore.html,0,0,0,0,0
347,b'Canning Park Hotel',0,b'#347 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5964509-Reviews-Canning_Park_Hotel-Singapore.html,0,0,0,0,0
348,b'Zen Rooms Basic Bendemeer',0,b'#348 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12728763-Reviews-Zen_Rooms_Basic_Bendemeer-Singapore.html,0,0,0,0,0
349,"b'Capri by Fraser, China Square / Singapore'",0,b'#349 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16844141-Reviews-Capri_by_Fraser_China_Square_Singapore-Singapore.html,0,0,0,0,0
