id,hotel_name,n_comment,rank_in_country,url,excellent,good,average,poor,terrible
154,b'Peninsula Excelsior Hotel',4839,b'#154 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d593661-Reviews-Peninsula_Excelsior_Hotel-Singapore.html,815,2082,1257,429,256
155,b'Value Hotel Balestier',719,b'#155 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1385699-Reviews-Value_Hotel_Balestier-Singapore.html,111,331,191,54,32
156,b'Grand Pacific Hotel',1355,b'#156 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306156-Reviews-Grand_Pacific_Hotel-Singapore.html,245,615,331,107,57
157,b'RELC International Hotel',310,b'#157 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d308397-Reviews-RELC_International_Hotel-Singapore.html,41,139,97,21,12
158,b'Jayleen 1918 Hotel',292,b'#158 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1892763-Reviews-Jayleen_1918_Hotel-Singapore.html,43,117,92,27,13
159,b'Value Hotel Nice',255,b'#159 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1511521-Reviews-Value_Hotel_Nice-Singapore.html,36,121,74,12,12
160,b'Mayo Inn',186,b'#160 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d785372-Reviews-Mayo_Inn-Singapore.html,27,95,55,7,2
161,b'Hotel Clover The Arts',336,b'#161 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6503606-Reviews-Hotel_Clover_The_Arts-Singapore.html,66,143,92,25,10
162,b'Mercure Singapore Bugis',1258,b'#162 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10391133-Reviews-Mercure_Singapore_Bugis-Singapore.html,320,526,277,72,63
163,b'City Inn Mackenzie',353,b'#163 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10055662-Reviews-City_Inn_Mackenzie-Singapore.html,40,123,66,14,20
164,b'Hotel Clover 769 North Bridge Road',138,b'#164 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4328268-Reviews-Hotel_Clover_769_North_Bridge_Road-Singapore.html,51,60,15,5,7
165,b'five/6 Hotel Splendour',79,b'#165 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4329374-Reviews-Five_6_Hotel_Splendour-Singapore.html,25,34,9,5,6
166,b'Hotel Bencoolen @ Bencoolen Street',662,b'#166 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d309898-Reviews-Hotel_Bencoolen_Bencoolen_Street-Singapore.html,81,262,196,71,53
167,b'Fort Canning Lodge',861,b'#167 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d309917-Reviews-Fort_Canning_Lodge-Singapore.html,121,378,251,71,41
168,b'Ibis Styles Singapore on Macpherson',630,b'#168 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8623711-Reviews-Ibis_Styles_Singapore_on_Macpherson-Singapore.html,133,226,178,49,44
169,b'Hotel Clover',381,b'#169 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5324609-Reviews-Hotel_Clover-Singapore.html,62,196,83,22,18
170,b'Hotel Mono',159,b'#170 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562403-Reviews-Hotel_Mono-Singapore.html,42,72,32,8,5
171,b'Hotel 1929',661,b'#171 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306179-Reviews-Hotel_1929-Singapore.html,137,297,152,44,31
172,b'Link Hotel',343,b'#172 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d677036-Reviews-Link_Hotel-Singapore.html,86,131,81,26,19
173,b'Hotel Michael',871,b'#173 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1447338-Reviews-Hotel_Michael-Sentosa_Island.html,257,298,207,73,36
174,b'Fragrance Hotel - Oasis',346,b'#174 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1015610-Reviews-Fragrance_Hotel_Oasis-Singapore.html,59,157,95,18,17
175,b'The Sultan',368,b'#175 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2375182-Reviews-The_Sultan-Singapore.html,70,179,78,24,17
176,b'Orchid Country Club',164,b'#176 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1531978-Reviews-Orchid_Country_Club-Singapore.html,45,77,26,10,6
177,b'Fragrance Hotel - Sapphire',332,b'#177 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d667848-Reviews-Fragrance_Hotel_Sapphire-Singapore.html,42,148,107,26,9
178,b'Perak Hotel',598,b'#178 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d498395-Reviews-Perak_Hotel-Singapore.html,95,290,157,31,25
179,b'The Southbridge Hotel',332,b'#179 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d5042956-Reviews-The_Southbridge_Hotel-Singapore.html,63,158,87,11,13
180,b'Hotel Re!',825,b'#180 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1088871-Reviews-Hotel_Re-Singapore.html,193,349,179,70,34
181,b'Siloso Beach Resort Sentosa',1583,b'#181 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d627293-Reviews-Siloso_Beach_Resort_Sentosa-Sentosa_Island.html,228,545,401,197,212
182,b'Hotel 81 Dickson',1367,b'#182 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562402-Reviews-Hotel_81_Dickson-Singapore.html,134,622,419,115,77
